Recall,Precision_awning-tricycle,Precision_bicycle,Precision_bus,Precision_car,Precision_freight_car,Precision_motor,Precision_person,Precision_tricycle,Precision_truck,Precision_van
0.08809,0.52809,0.53774,1.00000,1.00000,0.87273,0.87549,0.93217,0.76296,0.98773,0.92857
0.08909,0.52174,0.53456,1.00000,1.00000,0.87273,0.87549,0.93217,0.76296,0.98773,0.92857
0.09009,0.52174,0.53456,1.00000,1.00000,0.87273,0.87549,0.93217,0.76296,0.98773,0.92857
0.09109,0.51042,0.53394,1.00000,1.00000,0.87273,0.87523,0.93217,0.76296,0.98773,0.92857
0.09209,0.51042,0.52193,1.00000,1.00000,0.87273,0.87523,0.93217,0.76296,0.98773,0.92857
0.09309,0.50000,0.51064,1.00000,1.00000,0.87273,0.87523,0.93217,0.76296,0.98773,0.91919
0.09409,0.48113,0.51029,1.00000,1.00000,0.87273,0.87523,0.93217,0.76296,0.98773,0.91919
0.09510,0.48113,0.51029,1.00000,1.00000,0.87273,0.87523,0.93217,0.76296,0.98773,0.91919
0.09610,0.47273,0.51029,1.00000,1.00000,0.87273,0.87523,0.93217,0.76296,0.98773,0.91919
0.09710,0.47273,0.50813,1.00000,1.00000,0.87273,0.87363,0.93217,0.76296,0.98773,0.91919
0.09810,0.46610,0.50193,1.00000,1.00000,0.87273,0.87114,0.93217,0.76296,0.98773,0.91919
0.09910,0.46610,0.50193,1.00000,1.00000,0.87273,0.86786,0.93217,0.75912,0.98773,0.91919
0.10010,0.46610,0.50193,1.00000,1.00000,0.87273,0.86689,0.93217,0.75540,0.98773,0.91919
0.10110,0.46610,0.49621,1.00000,1.00000,0.87273,0.86689,0.93217,0.75342,0.98773,0.91919
0.10210,0.46610,0.49438,1.00000,1.00000,0.87273,0.86689,0.93217,0.75342,0.98773,0.91919
0.10310,0.46610,0.48921,1.00000,1.00000,0.87273,0.86689,0.93217,0.75342,0.98773,0.91919
0.10410,0.44094,0.48921,1.00000,1.00000,0.87273,0.86689,0.93217,0.75342,0.98773,0.91919
0.10511,0.44094,0.48921,1.00000,1.00000,0.87273,0.86689,0.93217,0.75342,0.98773,0.91919
0.10611,0.41912,0.48410,1.00000,1.00000,0.87273,0.86689,0.93217,0.75163,0.98773,0.91919
0.10711,0.41912,0.47782,1.00000,1.00000,0.87273,0.86495,0.93217,0.75163,0.98773,0.91919
0.10811,0.41135,0.47782,1.00000,1.00000,0.87273,0.86495,0.93217,0.75163,0.98773,0.91919
0.10911,0.40136,0.47157,1.00000,1.00000,0.87273,0.86495,0.93217,0.75163,0.98773,0.91919
0.11011,0.40136,0.47020,1.00000,1.00000,0.87273,0.86495,0.93217,0.74359,0.98773,0.91919
0.11111,0.39474,0.45886,1.00000,1.00000,0.87273,0.86486,0.93217,0.73913,0.98773,0.91919
0.11211,0.39474,0.45886,1.00000,1.00000,0.87273,0.86420,0.93217,0.73913,0.98773,0.91919
0.11311,0.38272,0.45625,1.00000,1.00000,0.87273,0.86420,0.93217,0.73913,0.98773,0.91919
0.11411,0.38272,0.45231,1.00000,1.00000,0.87273,0.86420,0.93217,0.73620,0.98773,0.91919
0.11512,0.38272,0.43695,1.00000,1.00000,0.87273,0.86239,0.93217,0.72941,0.98773,0.91919
0.11612,0.38272,0.43103,1.00000,1.00000,0.87273,0.86100,0.93217,0.72941,0.98773,0.91919
0.11712,0.38235,0.42297,1.00000,1.00000,0.87273,0.86100,0.93217,0.72941,0.98773,0.91919
0.11812,0.38235,0.42192,1.00000,1.00000,0.87273,0.86100,0.93217,0.72941,0.98773,0.91919
0.11912,0.38235,0.42192,1.00000,1.00000,0.87273,0.86100,0.93217,0.72500,0.98773,0.91919
0.12012,0.38235,0.42133,1.00000,1.00000,0.87273,0.86100,0.93217,0.72500,0.98773,0.91919
0.12112,0.38235,0.42133,1.00000,1.00000,0.87273,0.86100,0.93217,0.72500,0.98193,0.91919
0.12212,0.38235,0.42133,1.00000,1.00000,0.87273,0.86100,0.93217,0.72500,0.98068,0.91919
0.12312,0.37500,0.41623,1.00000,1.00000,0.87273,0.86100,0.93217,0.72500,0.98068,0.91919
0.12412,0.37222,0.41558,1.00000,1.00000,0.87273,0.86100,0.93217,0.72500,0.98068,0.91919
0.12513,0.37222,0.40399,1.00000,1.00000,0.87273,0.86100,0.93217,0.72500,0.98068,0.91919
0.12613,0.36735,0.40247,1.00000,1.00000,0.87273,0.86100,0.93217,0.72500,0.98068,0.91919
0.12713,0.36735,0.39709,1.00000,1.00000,0.87273,0.86100,0.93217,0.72500,0.98068,0.91919
0.12813,0.36735,0.39524,1.00000,1.00000,0.87273,0.86100,0.93217,0.72500,0.98068,0.91919
0.12913,0.36735,0.39294,1.00000,1.00000,0.87273,0.86100,0.93217,0.72500,0.98068,0.91919
0.13013,0.36735,0.38889,1.00000,1.00000,0.87273,0.86100,0.93217,0.72500,0.98068,0.91411
0.13113,0.36735,0.38235,1.00000,1.00000,0.87273,0.86100,0.93217,0.72500,0.98068,0.91411
0.13213,0.36735,0.38085,1.00000,1.00000,0.87273,0.86100,0.93217,0.72500,0.98068,0.91411
0.13313,0.36735,0.36831,1.00000,1.00000,0.87273,0.86100,0.93217,0.72500,0.98068,0.91411
0.13413,0.36735,0.36632,1.00000,1.00000,0.87273,0.86100,0.93217,0.72500,0.98068,0.91411
0.13514,0.36735,0.36632,1.00000,1.00000,0.87273,0.86100,0.93217,0.72500,0.98068,0.91411
0.13614,0.35437,0.36214,1.00000,1.00000,0.86957,0.86100,0.93217,0.72500,0.98068,0.91411
0.13714,0.35437,0.35685,1.00000,1.00000,0.86957,0.86055,0.93217,0.72500,0.98068,0.91411
0.13814,0.34419,0.35600,1.00000,1.00000,0.86957,0.86055,0.93217,0.72500,0.98068,0.91411
0.13914,0.34375,0.35250,1.00000,1.00000,0.86957,0.86055,0.93217,0.72464,0.98068,0.91411
0.14014,0.34375,0.35250,1.00000,1.00000,0.86957,0.86055,0.93217,0.72464,0.98068,0.91411
0.14114,0.34375,0.35250,1.00000,1.00000,0.86857,0.85980,0.93217,0.72464,0.98068,0.91411
0.14214,0.34375,0.35250,1.00000,1.00000,0.86857,0.85820,0.93217,0.72464,0.98068,0.91411
0.14314,0.34375,0.35250,1.00000,1.00000,0.86857,0.85802,0.93217,0.72464,0.98068,0.91411
0.14414,0.34375,0.35250,1.00000,1.00000,0.86857,0.85714,0.93217,0.72350,0.98068,0.91411
0.14515,0.33745,0.35250,1.00000,1.00000,0.86857,0.85697,0.93217,0.72350,0.98068,0.91411
0.14615,0.33745,0.35250,1.00000,1.00000,0.86857,0.85526,0.93217,0.72350,0.98068,0.91411
0.14715,0.33745,0.35250,1.00000,1.00000,0.86857,0.85482,0.93217,0.72350,0.98068,0.91411
0.14815,0.33745,0.34414,1.00000,1.00000,0.86857,0.85482,0.93217,0.72350,0.98068,0.91411
0.14915,0.33745,0.34164,1.00000,1.00000,0.86857,0.85482,0.93217,0.72350,0.98068,0.91411
0.15015,0.33745,0.34146,1.00000,1.00000,0.86857,0.85482,0.93217,0.72350,0.98068,0.91411
0.15115,0.33745,0.34146,1.00000,1.00000,0.86857,0.85304,0.93217,0.72146,0.98068,0.91411
0.15215,0.33745,0.34146,1.00000,1.00000,0.86857,0.85240,0.93217,0.71556,0.97619,0.91411
0.15315,0.33745,0.32781,1.00000,1.00000,0.86857,0.85011,0.93217,0.71556,0.97619,0.91411
0.15415,0.33466,0.32037,1.00000,1.00000,0.86857,0.85011,0.93217,0.71491,0.97403,0.91411
0.15516,0.33466,0.32037,1.00000,1.00000,0.86857,0.85011,0.93217,0.71491,0.97403,0.91411
0.15616,0.33466,0.32037,1.00000,1.00000,0.86857,0.84906,0.93217,0.71304,0.97403,0.91411
0.15716,0.33466,0.32037,1.00000,1.00000,0.86857,0.84802,0.93217,0.69915,0.97403,0.91411
0.15816,0.33333,0.32037,1.00000,1.00000,0.86857,0.84715,0.93217,0.69710,0.97403,0.91411
