                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.2515,                0.65576,                 0.9982,                 0.7557,                0.73843,                0.76986,                0.53687,                 1.2015,                0.55045,                0.99099,                0.00769,                0.00769,                0.00769
                     73,                 1.2441,                0.64922,                0.99565,                0.75602,                0.73896,                0.77017,                0.53712,                 1.2016,                0.54991,                0.99076,               0.007657,               0.007657,               0.007657
                     74,                 1.2464,                0.65368,                0.99731,                0.75419,                0.74021,                0.77068,                0.53754,                 1.2013,                0.54959,                0.99065,               0.007624,               0.007624,               0.007624
                     75,                 1.2348,                 0.6469,                0.99149,                0.75494,                 0.7399,                0.77088,                0.53797,                 1.2018,                0.54916,                0.99056,               0.007591,               0.007591,               0.007591
                     76,                 1.2372,                0.64757,                0.99284,                0.75788,                0.73936,                0.77129,                0.53824,                  1.202,                0.54883,                0.99044,               0.007558,               0.007558,               0.007558
                     77,                 1.2331,                0.64136,                0.99159,                0.75846,                0.73824,                 0.7717,                0.53873,                 1.2025,                0.54843,                 0.9903,               0.007525,               0.007525,               0.007525
                     78,                 1.2418,                0.64617,                0.99431,                0.75686,                0.73897,                0.77244,                0.53914,                 1.2021,                0.54802,                0.99012,               0.007492,               0.007492,               0.007492
                     79,                 1.2397,                0.64821,                0.99184,                 0.7569,                0.73955,                  0.773,                0.53941,                 1.2022,                0.54773,                0.99006,               0.007459,               0.007459,               0.007459
                     80,                 1.2322,                0.64111,                  0.992,                0.75473,                0.74211,                0.77371,                0.53984,                 1.2023,                0.54737,                0.98989,               0.007426,               0.007426,               0.007426
                     81,                 1.2317,                0.63934,                0.99009,                0.75998,                0.73701,                0.77414,                 0.5403,                 1.2027,                0.54692,                0.98973,               0.007393,               0.007393,               0.007393
                     82,                 1.2343,                0.64171,                0.99138,                0.76189,                0.73652,                0.77428,                0.54074,                 1.2026,                0.54649,                0.98958,                0.00736,                0.00736,                0.00736
                     83,                 1.2313,                0.63954,                0.99025,                0.76393,                0.73626,                0.77469,                0.54149,                 1.2027,                0.54608,                0.98949,               0.007327,               0.007327,               0.007327
                     84,                  1.229,                0.63742,                0.98876,                0.76551,                0.73703,                0.77558,                0.54174,                 1.2027,                 0.5458,                0.98934,               0.007294,               0.007294,               0.007294
                     85,                 1.2244,                0.63652,                0.98797,                0.76395,                0.73868,                0.77595,                0.54197,                 1.2031,                0.54552,                0.98922,               0.007261,               0.007261,               0.007261
                     86,                 1.2239,                0.63391,                0.98948,                0.76627,                0.73785,                0.77666,                0.54228,                 1.2034,                0.54508,                0.98919,               0.007228,               0.007228,               0.007228
                     87,                 1.2183,                   0.63,                0.98706,                0.76924,                0.73612,                0.77703,                0.54304,                  1.204,                0.54485,                0.98898,               0.007195,               0.007195,               0.007195
                     88,                 1.2259,                 0.6317,                0.98747,                0.76983,                0.73682,                0.77768,                0.54303,                 1.2039,                0.54429,                0.98878,               0.007162,               0.007162,               0.007162
                     89,                 1.2285,                0.63502,                0.98943,                0.76896,                0.73769,                0.77814,                0.54346,                 1.2037,                0.54391,                 0.9886,               0.007129,               0.007129,               0.007129
                     90,                 1.2282,                0.63195,                0.98838,                 0.7683,                0.73843,                0.77865,                  0.544,                 1.2029,                0.54359,                0.98843,               0.007096,               0.007096,               0.007096
                     91,                 1.2178,                0.62989,                0.98777,                0.76632,                0.74067,                0.77908,                0.54444,                 1.2034,                0.54313,                0.98833,               0.007063,               0.007063,               0.007063
                     92,                 1.2187,                0.62769,                0.98507,                0.76642,                0.74032,                 0.7795,                0.54452,                 1.2033,                0.54274,                0.98822,                0.00703,                0.00703,                0.00703
                     93,                 1.2244,                0.62894,                0.98768,                0.76589,                0.74007,                0.78013,                0.54499,                 1.2031,                0.54237,                0.98805,               0.006997,               0.006997,               0.006997
                     94,                 1.2139,                0.62604,                0.98392,                0.76348,                0.74339,                0.78062,                0.54555,                 1.2033,                  0.542,                0.98798,               0.006964,               0.006964,               0.006964
                     95,                 1.2238,                0.62882,                0.98685,                0.76466,                0.74301,                0.78101,                0.54604,                 1.2031,                0.54131,                0.98786,               0.006931,               0.006931,               0.006931
                     96,                 1.2173,                0.62635,                0.98471,                0.76594,                0.74217,                0.78155,                0.54681,                 1.2029,                0.54116,                0.98769,               0.006898,               0.006898,               0.006898
                     97,                 1.2159,                0.62369,                0.98366,                0.76689,                 0.7418,                0.78211,                0.54727,                 1.2034,                0.54091,                 0.9876,               0.006865,               0.006865,               0.006865
                     98,                 1.2176,                0.62189,                0.98308,                 0.7644,                0.74614,                0.78234,                0.54705,                 1.2031,                0.54044,                0.98744,               0.006832,               0.006832,               0.006832
                     99,                 1.2059,                0.62131,                0.98146,                 0.7658,                0.74526,                0.78279,                0.54776,                 1.2035,                0.54017,                 0.9873,               0.006799,               0.006799,               0.006799
                    100,                 1.2153,                0.62166,                0.98578,                0.76501,                0.74707,                0.78312,                0.54851,                 1.2032,                 0.5397,                0.98717,               0.006766,               0.006766,               0.006766
                    101,                 1.2095,                0.61918,                0.98414,                0.76398,                0.74919,                0.78366,                0.54892,                 1.2035,                0.53927,                  0.987,               0.006733,               0.006733,               0.006733
                    102,                  1.211,                0.61792,                0.98414,                0.76397,                0.74965,                0.78429,                0.54921,                 1.2033,                0.53909,                 0.9869,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.2092,                0.61699,                0.98356,                0.76643,                0.74958,                 0.7853,                0.54975,                 1.2036,                0.53881,                0.98675,               0.006667,               0.006667,               0.006667
                    104,                 1.2119,                0.61871,                0.98386,                0.76735,                0.75021,                0.78579,                0.55016,                  1.203,                 0.5385,                0.98657,               0.006634,               0.006634,               0.006634
                    105,                 1.2121,                0.61848,                0.98341,                0.76736,                0.75113,                0.78609,                0.55046,                 1.2028,                0.53801,                0.98643,               0.006601,               0.006601,               0.006601
                    106,                 1.2102,                0.61484,                 0.9819,                0.76773,                0.75005,                0.78658,                0.55093,                 1.2026,                0.53752,                0.98625,               0.006568,               0.006568,               0.006568
                    107,                  1.209,                0.61445,                 0.9828,                0.76762,                0.75125,                0.78721,                0.55134,                 1.2026,                 0.5371,                0.98602,               0.006535,               0.006535,               0.006535
                    108,                 1.2045,                0.61226,                0.97975,                 0.7716,                0.74798,                0.78806,                0.55211,                 1.2024,                0.53634,                0.98584,               0.006502,               0.006502,               0.006502
                    109,                 1.1995,                0.60816,                0.97697,                0.77176,                0.74823,                0.78853,                0.55258,                 1.2028,                 0.5359,                0.98569,               0.006469,               0.006469,               0.006469
                    110,                 1.2098,                0.61273,                0.98139,                0.77051,                0.74846,                0.78876,                0.55287,                 1.2022,                0.53549,                0.98552,               0.006436,               0.006436,               0.006436
                    111,                  1.212,                0.61458,                0.98132,                0.77189,                0.74798,                0.78943,                0.55306,                 1.2016,                0.53511,                0.98535,               0.006403,               0.006403,               0.006403
                    112,                 1.1986,                0.60783,                0.97929,                0.77269,                0.74917,                0.79047,                0.55381,                 1.2017,                 0.5348,                0.98519,                0.00637,                0.00637,                0.00637
                    113,                 1.1998,                0.60765,                 0.9781,                0.77225,                0.75008,                0.79112,                0.55427,                 1.2017,                0.53432,                 0.9851,               0.006337,               0.006337,               0.006337
                    114,                 1.1938,                0.60515,                 0.9786,                 0.7723,                0.75054,                0.79174,                0.55495,                 1.2021,                0.53371,                0.98492,               0.006304,               0.006304,               0.006304
                    115,                  1.195,                0.60431,                0.97674,                0.77135,                0.75143,                0.79224,                0.55529,                 1.2023,                0.53302,                 0.9848,               0.006271,               0.006271,               0.006271
                    116,                 1.1988,                 0.6071,                0.97949,                0.77531,                0.74986,                0.79262,                0.55625,                 1.2019,                0.53263,                0.98464,               0.006238,               0.006238,               0.006238
                    117,                 1.1984,                0.60732,                 0.9783,                0.77835,                0.74886,                0.79348,                0.55664,                 1.2016,                0.53237,                0.98449,               0.006205,               0.006205,               0.006205
                    118,                 1.1955,                0.60668,                0.97834,                0.77595,                0.75133,                0.79367,                0.55718,                 1.2014,                0.53193,                0.98437,               0.006172,               0.006172,               0.006172
                    119,                 1.1882,                0.60087,                0.97714,                0.77871,                0.74928,                0.79403,                0.55745,                 1.2019,                0.53157,                0.98426,               0.006139,               0.006139,               0.006139
                    120,                 1.1957,                0.60088,                0.97527,                0.78242,                0.74682,                0.79437,                0.55817,                 1.2017,                0.53115,                 0.9841,               0.006106,               0.006106,               0.006106
                    121,                 1.1933,                0.59907,                0.97806,                0.78156,                0.74823,                0.79499,                 0.5586,                 1.2019,                0.53066,                0.98396,               0.006073,               0.006073,               0.006073
                    122,                  1.191,                 0.5992,                0.97725,                 0.7795,                0.74974,                0.79531,                0.55908,                  1.202,                0.53019,                0.98378,                0.00604,                0.00604,                0.00604
                    123,                 1.1904,                0.60007,                0.97668,                0.77953,                0.75073,                0.79596,                0.55979,                 1.2018,                 0.5297,                0.98361,               0.006007,               0.006007,               0.006007
                    124,                 1.1934,                0.59764,                0.97806,                0.77961,                0.75149,                0.79643,                0.56017,                 1.2013,                0.52913,                0.98342,               0.005974,               0.005974,               0.005974
                    125,                 1.1902,                 0.5983,                0.97636,                0.77893,                0.75244,                0.79728,                 0.5608,                 1.2012,                0.52862,                0.98332,               0.005941,               0.005941,               0.005941
                    126,                 1.1874,                0.59823,                0.97779,                0.78212,                0.75104,                0.79762,                0.56141,                 1.2008,                0.52834,                 0.9832,               0.005908,               0.005908,               0.005908
                    127,                 1.1909,                0.59771,                0.97613,                0.78186,                 0.7524,                0.79805,                0.56165,                 1.2006,                0.52788,                0.98302,               0.005875,               0.005875,               0.005875
                    128,                 1.1905,                 0.5944,                 0.9768,                0.78404,                0.75151,                0.79833,                0.56206,                 1.2002,                0.52731,                 0.9829,               0.005842,               0.005842,               0.005842
                    129,                 1.1891,                0.59646,                0.97433,                0.78667,                0.75161,                0.79859,                0.56229,                 1.2004,                0.52685,                0.98283,               0.005809,               0.005809,               0.005809
                    130,                 1.1919,                0.59686,                0.97473,                0.78441,                0.75535,                0.79908,                 0.5628,                    1.2,                0.52643,                0.98271,               0.005776,               0.005776,               0.005776
