Recall,Precision_pedestrian,Precision_people,Precision_bicycle,Precision_car,Precision_van,Precision_truck,Precision_tricycle,Precision_awning-tricycle,Precision_bus,Precision_motor
0.07608,0.97445,0.89286,0.66667,0.97540,0.89268,0.91045,0.76991,0.47674,1.00000,0.89540
0.07708,0.97445,0.89286,0.66667,0.97540,0.89268,0.91045,0.76991,0.46667,1.00000,0.89540
0.07808,0.97445,0.89207,0.66447,0.97540,0.89268,0.91045,0.76991,0.46667,1.00000,0.89540
0.07908,0.97445,0.88821,0.66279,0.97540,0.89268,0.91045,0.76991,0.46316,1.00000,0.89540
0.08008,0.97445,0.88821,0.66279,0.97540,0.89268,0.91045,0.76991,0.46316,1.00000,0.89540
0.08108,0.97445,0.88821,0.66279,0.97540,0.89268,0.91045,0.76991,0.46316,1.00000,0.89540
0.08208,0.97445,0.88821,0.66279,0.97540,0.89268,0.89855,0.76991,0.46316,1.00000,0.89540
0.08308,0.97445,0.88821,0.66279,0.97540,0.89268,0.88889,0.76991,0.46000,1.00000,0.89540
0.08408,0.97445,0.88821,0.66279,0.97540,0.89268,0.88889,0.75410,0.46000,1.00000,0.89540
0.08509,0.97445,0.88821,0.66279,0.97540,0.89268,0.88889,0.75410,0.46000,1.00000,0.89540
0.08609,0.97445,0.88704,0.66279,0.97540,0.89268,0.87838,0.75410,0.46000,1.00000,0.89540
0.08709,0.97445,0.88704,0.66279,0.97540,0.89268,0.87611,0.75410,0.45192,1.00000,0.89540
0.08809,0.97445,0.88704,0.66279,0.97540,0.89268,0.87611,0.74400,0.45192,1.00000,0.89278
0.08909,0.97445,0.88704,0.66092,0.97540,0.89268,0.87611,0.72308,0.44954,1.00000,0.89205
0.09009,0.97445,0.88704,0.63736,0.97540,0.89268,0.87611,0.71357,0.44954,1.00000,0.89205
0.09109,0.97445,0.88704,0.62766,0.97540,0.89268,0.87611,0.71357,0.44954,1.00000,0.89205
0.09209,0.97445,0.88704,0.62632,0.97540,0.89268,0.87611,0.71357,0.44954,1.00000,0.89205
0.09309,0.97445,0.88704,0.62176,0.97540,0.89105,0.87611,0.71357,0.44828,1.00000,0.89205
0.09409,0.97445,0.88667,0.62000,0.97540,0.89105,0.87611,0.71357,0.44828,1.00000,0.89205
0.09510,0.97374,0.88667,0.62000,0.97540,0.89105,0.87611,0.71357,0.44828,1.00000,0.89205
0.09610,0.97374,0.88667,0.62000,0.97540,0.89105,0.87611,0.71357,0.44828,1.00000,0.89205
0.09710,0.97324,0.88667,0.61881,0.97540,0.89105,0.87611,0.71357,0.44828,1.00000,0.89199
0.09810,0.97324,0.88667,0.60476,0.97540,0.89105,0.87611,0.71357,0.43548,1.00000,0.89094
0.09910,0.97250,0.88667,0.60377,0.97540,0.89105,0.87611,0.71357,0.43548,1.00000,0.88707
0.10010,0.97165,0.88667,0.59447,0.97540,0.89105,0.87611,0.71357,0.43548,1.00000,0.88628
0.10110,0.97097,0.88667,0.59009,0.97540,0.89105,0.87611,0.71357,0.43548,1.00000,0.88612
0.10210,0.97097,0.88667,0.58929,0.97540,0.89105,0.87611,0.71357,0.42169,1.00000,0.88475
0.10310,0.97059,0.88667,0.58850,0.97540,0.89105,0.87611,0.71357,0.42169,1.00000,0.88245
0.10410,0.97059,0.88284,0.58750,0.97540,0.89105,0.87611,0.71357,0.42169,1.00000,0.88245
0.10511,0.97004,0.88169,0.58750,0.97540,0.89105,0.87611,0.71357,0.42169,1.00000,0.88245
0.10611,0.97004,0.88169,0.58750,0.97540,0.89105,0.87611,0.71357,0.42169,1.00000,0.88060
0.10711,0.96837,0.87700,0.58750,0.97540,0.89105,0.87611,0.71357,0.42169,1.00000,0.88060
0.10811,0.96667,0.87578,0.58750,0.97540,0.89105,0.87611,0.71357,0.42169,1.00000,0.88060
0.10911,0.96603,0.87578,0.58750,0.97540,0.89105,0.87611,0.71357,0.42169,1.00000,0.87928
0.11011,0.96545,0.87500,0.57959,0.97540,0.89105,0.87611,0.71357,0.42169,1.00000,0.87928
0.11111,0.96380,0.87309,0.56917,0.97540,0.89105,0.87611,0.71357,0.42169,1.00000,0.87758
0.11211,0.96379,0.87160,0.56202,0.97540,0.89105,0.87611,0.71357,0.42169,1.00000,0.87758
0.11311,0.96379,0.86885,0.55939,0.97526,0.89105,0.87611,0.71357,0.42169,1.00000,0.87678
0.11411,0.96379,0.86834,0.55147,0.97526,0.89105,0.87611,0.71357,0.42169,1.00000,0.87500
0.11512,0.96379,0.86676,0.55147,0.97479,0.89105,0.87611,0.71357,0.42169,1.00000,0.87253
0.11612,0.96379,0.86416,0.55147,0.97425,0.88994,0.87611,0.71357,0.42169,1.00000,0.87253
0.11712,0.96379,0.86351,0.54909,0.97425,0.88994,0.87611,0.71357,0.42169,1.00000,0.87253
0.11812,0.96259,0.86119,0.53103,0.97425,0.88994,0.87611,0.71357,0.42169,1.00000,0.87213
0.11912,0.96259,0.85933,0.53103,0.97374,0.88994,0.87611,0.71357,0.42169,1.00000,0.87213
0.12012,0.96216,0.85933,0.53082,0.97374,0.88994,0.87611,0.71357,0.42169,0.96923,0.87213
0.12112,0.96194,0.85931,0.52104,0.97374,0.88994,0.87611,0.71357,0.42169,0.96923,0.87213
0.12212,0.96194,0.85676,0.52104,0.97374,0.88994,0.87611,0.71357,0.42169,0.96923,0.87213
0.12312,0.96194,0.85676,0.52104,0.97374,0.88994,0.87611,0.71357,0.42169,0.96923,0.87213
0.12412,0.96194,0.85676,0.52104,0.97374,0.88994,0.87611,0.71357,0.42169,0.96923,0.87213
0.12513,0.96194,0.85676,0.52090,0.97374,0.88994,0.87611,0.71357,0.42169,0.96923,0.87055
0.12613,0.95960,0.85582,0.51911,0.97374,0.88994,0.87611,0.71357,0.42169,0.96923,0.86939
0.12713,0.95960,0.85455,0.51562,0.97374,0.88994,0.87611,0.71357,0.42169,0.96923,0.86939
