                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.3362,                 1.0381,                 1.0821,                0.52929,                0.41366,                0.43271,                0.24187,                 1.3849,                0.95597,                 1.0646,               0.001766,               0.001766,               0.001766
                     55,                 1.3357,                 1.0386,                 1.0823,                0.51795,                0.42303,                0.43511,                0.24458,                 1.3756,                0.95171,                 1.0621,              0.0017615,              0.0017615,              0.0017615
                     56,                 1.3319,                   1.03,                 1.0789,                0.53741,                0.41109,                0.43108,                0.24235,                 1.3696,                 0.9505,                 1.0604,               0.001757,               0.001757,               0.001757
                     57,                 1.3309,                  1.028,                 1.0801,                0.52938,                0.42391,                0.43759,                0.24598,                  1.364,                0.94296,                 1.0575,              0.0017525,              0.0017525,              0.0017525
                     58,                 1.3287,                 1.0216,                  1.079,                0.52487,                0.42404,                 0.4375,                0.24681,                 1.3601,                0.94271,                 1.0573,               0.001748,               0.001748,               0.001748
                     59,                 1.3255,                 1.0217,                 1.0803,                0.52974,                 0.4227,                0.43974,                0.24725,                 1.3717,                0.94325,                 1.0592,              0.0017435,              0.0017435,              0.0017435
                     60,                 1.3228,                  1.014,                 1.0752,                0.53784,                0.42491,                0.44228,                0.25018,                 1.3593,                0.93995,                 1.0551,               0.001739,               0.001739,               0.001739
                     61,                 1.3259,                 1.0088,                 1.0757,                0.53688,                0.43107,                0.44612,                0.25205,                 1.3604,                0.93527,                 1.0549,              0.0017345,              0.0017345,              0.0017345
                     62,                 1.3245,                 1.0106,                 1.0743,                0.53237,                0.43405,                0.44408,                0.25177,                 1.3469,                 0.9322,                 1.0515,                0.00173,                0.00173,                0.00173
                     63,                 1.3222,                 1.0096,                 1.0735,                 0.5347,                0.43482,                0.44506,                0.25275,                 1.3534,                0.92921,                  1.053,              0.0017255,              0.0017255,              0.0017255
                     64,                 1.3135,                 0.9984,                 1.0706,                0.54235,                0.43223,                0.44666,                0.25255,                 1.3637,                0.93032,                 1.0547,               0.001721,               0.001721,               0.001721
                     65,                 1.3191,                 1.0045,                 1.0712,                0.54785,                0.43187,                0.44775,                0.25217,                 1.3686,                0.92976,                 1.0543,              0.0017165,              0.0017165,              0.0017165
                     66,                 1.3143,                0.99205,                 1.0731,                0.55046,                0.43052,                0.45104,                0.25482,                 1.3588,                0.92572,                 1.0527,               0.001712,               0.001712,               0.001712
                     67,                  1.308,                0.98681,                 1.0675,                0.53646,                0.43599,                0.44943,                0.25436,                   1.36,                0.92587,                 1.0527,              0.0017075,              0.0017075,              0.0017075
                     68,                 1.3075,                0.98401,                  1.066,                0.54636,                 0.4356,                0.45184,                0.25631,                 1.3583,                0.92147,                 1.0518,               0.001703,               0.001703,               0.001703
                     69,                  1.304,                0.98039,                  1.065,                0.54757,                0.43546,                0.45118,                0.25597,                 1.3607,                0.92005,                  1.052,              0.0016985,              0.0016985,              0.0016985
                     70,                 1.3076,                0.98031,                 1.0655,                0.54209,                0.44185,                0.45354,                 0.2579,                 1.3485,                0.91776,                 1.0492,               0.001694,               0.001694,               0.001694
                     71,                 1.2961,                0.97314,                 1.0636,                0.55294,                0.43719,                0.45484,                0.25852,                 1.3531,                0.91411,                 1.0488,              0.0016895,              0.0016895,              0.0016895
